iter	Passed	Remaining
415	2320	3258
416	2324	3250
417	2327	3240
418	2329	3230
419	2331	3220
420	2333	3209
421	2335	3199
422	2341	3194
423	2350	3192
424	2352	3182
425	2356	3175
426	2358	3164
427	2360	3154
428	2362	3144
429	2364	3134
430	2367	3125
431	2370	3117
432	2372	3106
433	2375	3097
434	2377	3088
435	2380	3078
436	2382	3068
437	2385	3060
438	2387	3050
439	2389	3041
440	2391	3031
441	2393	3022
442	2397	3014
443	2403	3010
444	2406	3001
445	2408	2991
446	2410	2982
447	2412	2972
448	2420	2970
449	2423	2961
450	2425	2952
451	2427	2943
452	2435	2940
453	2437	2931
454	2439	2921
455	2440	2911
456	2442	2902
457	2445	2893
458	2448	2885
459	2450	2876
460	2452	2867
461	2454	2858
462	2456	2849
463	2458	2840
464	2464	2834
465	2465	2825
466	2486	2837
467	2489	2829
468	2492	2821
469	2497	2816
470	2499	2807
471	2504	2801
472	2506	2792
473	2508	2783
474	2512	2776
475	2514	2767
476	2516	2759
477	2518	2750
478	2520	2741
479	2523	2733
480	2527	2727
481	2529	2718
482	2531	2709
483	2534	2702
484	2537	2694
485	2544	2691
486	2555	2692
487	2560	2686
488	2562	2677
489	2566	2671
490	2570	2664
491	2575	2659
492	2580	2653
493	2595	2658
494	2597	2650
495	2599	2641
496	2602	2633
497	2604	2625
498	2608	2619
499	2612	2612
500	2615	2604
501	2617	2596
502	2619	2588
503	2621	2579
504	2649	2596
505	2653	2590
506	2655	2581
507	2671	2587
508	2676	2581
509	2679	2574
510	2682	2566
511	2684	2558
512	2695	2558
513	2700	2553
514	2705	2548
515	2709	2541
516	2711	2533
517	2721	2531
518	2730	2530
519	2733	2522
520	2741	2520
521	2744	2512
522	2746	2504
523	2748	2497
524	2757	2494
525	2760	2487
526	2765	2482
527	2796	2499
528	2801	2493
529	2809	2491
530	2811	2483
531	2814	2475
532	2825	2475
533	2828	2468
534	2833	2463
535	2842	2460
536	2845	2453
537	2848	2446
538	2862	2448
539	2868	2443
540	2872	2437
541	2881	2434
542	2884	2427
543	2893	2425
544	2895	2417
545	2898	2410
546	2900	2402
547	2904	2395
548	2908	2389
549	2912	2382
550	2914	2374
551	2916	2366
552	2924	2363
553	2926	2356
554	2928	2348
555	2931	2341
556	2936	2335
557	2941	2330
558	2946	2324
559	2955	2322
560	2959	2316
561	2967	2312
562	2969	2305
563	2971	2297
564	2982	2296
565	2985	2288
566	2998	2289
567	3000	2282
568	3002	2274
569	3004	2266
570	3008	2260
571	3012	2254
572	3015	2247
573	3017	2239
574	3020	2232
575	3030	2231
576	3033	2223
577	3035	2216
578	3041	2211
579	3043	2203
580	3045	2196
581	3047	2188
582	3049	2181
583	3053	2174
584	3055	2167
585	3057	2160
586	3059	2152
587	3061	2145
588	3064	2138
589	3075	2136
590	3076	2129
591	3083	2124
592	3090	2120
593	3092	2113
594	3098	2109
595	3102	2102
596	3107	2097
597	3109	2090
598	3117	2087
599	3122	2081
600	3132	2079
601	3136	2073
602	3140	2067
603	3154	2068
604	3157	2061
605	3171	2062
606	3182	2060
607	3186	2054
608	3204	2057
609	3219	2058
610	3221	2050
611	3236	2052
612	3245	2048
613	3251	2043
614	3257	2039
615	3265	2035
616	3268	2028
617	3270	2021
618	3279	2018
619	3283	2012
620	3291	2009
621	3295	2002
622	3302	1998
623	3309	1994
624	3314	1988
625	3327	1987
626	3329	1980
627	3341	1979
628	3345	1973
629	3358	1972
630	3363	1966
631	3379	1967
632	3387	1964
633	3394	1959
634	3396	1952
635	3413	1953
636	3418	1948
637	3421	1941
638	3451	1949
639	3453	1942
640	3468	1942
641	3480	1941
642	3486	1935
643	3489	1929
644	3498	1925
645	3502	1919
646	3511	1915
647	3513	1908
648	3515	1901
649	3520	1895
650	3531	1893
651	3545	1892
652	3557	1890
653	3560	1883
654	3563	1876
655	3565	1869
656	3569	1863
657	3573	1857
658	3575	1850
659	3577	1842
660	3579	1835
661	3582	1829
662	3585	1822
663	3590	1817
664	3593	1810
665	3595	1803
666	3599	1797
667	3602	1790
668	3603	1783
669	3605	1775
670	3607	1768
671	3609	1761
672	3611	1754
673	3614	1748
674	3616	1741
675	3618	1734
676	3620	1727
677	3622	1720
678	3624	1713
679	3629	1707
680	3631	1701
681	3633	1694
682	3634	1686
683	3636	1679
684	3637	1672
685	3640	1666
686	3646	1661
687	3649	1654
688	3651	1648
689	3655	1642
690	3659	1636
691	3662	1629
692	3664	1623
693	3665	1616
694	3667	1609
695	3669	1602
696	3671	1595
697	3675	1590
698	3677	1583
699	3678	1576
700	3680	1569
701	3682	1563
702	3683	1556
703	3685	1549
704	3689	1543
705	3690	1536
706	3692	1530
707	3694	1523
708	3696	1517
709	3698	1510
710	3700	1504
711	3704	1498
712	3706	1492
713	3708	1485
714	3711	1479
715	3713	1472
716	3715	1466
717	3717	1459
718	3721	1454
719	3722	1447
720	3724	1441
721	3726	1435
722	3729	1428
723	3730	1422
724	3732	1415
725	3735	1409
726	3738	1403
727	3740	1397
728	3743	1391
729	3746	1385
730	3748	1379
731	3751	1373
732	3753	1367
733	3755	1360
734	3756	1354
735	3758	1348
736	3760	1341
737	3764	1336
738	3766	1330
739	3768	1323
740	3769	1317
741	3771	1311
742	3773	1305
743	3775	1298
744	3778	1293
745	3781	1287
